surveynum,qid,bin,interval,dens,cprobs
1,6163,0.0,0.015,0.00787,0.0
1,6163,0.015,0.015,0.00816,4.0276381909547707e-05
1,6163,0.03,0.015,0.00848,8.206030150753763e-05
1,6163,0.045,0.015,0.00882,0.00012553182579564477
1,6163,0.06,0.015,0.00919,0.00017075376884422098
1,6163,0.075,0.015,0.00959,0.00021794388609715223
1,6163,0.09,0.015,0.01001,0.00026716917922948053
1,6163,0.105,0.015,0.01048,0.00031864321608040175
1,6163,0.12,0.015,0.01098,0.000372546063651591
1,6163,0.135,0.015,0.01153,0.0004290871021775542
1,6163,0.15000000000000002,0.015,0.01212,0.0004884924623115575
1,6163,0.16500000000000004,0.015,0.01277,0.0005510050251256278
1,6163,0.18000000000000005,0.015,0.01348,0.0006169346733668339
1,6163,0.19500000000000006,0.015,0.01425,0.000686582914572864
1,6163,0.21000000000000008,0.015,0.01509,0.0007602680067001673
1,6163,0.2250000000000001,0.015,0.01601,0.0008383793969849243
1,6163,0.2400000000000001,0.015,0.01702,0.0009213232830820768
1,6163,0.2550000000000001,0.015,0.01813,0.0010096063651591285
1,6163,0.27000000000000013,0.015,0.01935,0.0011037185929648238
1,6163,0.28500000000000014,0.015,0.02069,0.0012042839195979898
1,6163,0.30000000000000016,0.015,0.02217,0.0013118927973199328
1,6163,0.31500000000000017,0.015,0.0238,0.0014273534338358456
1,6163,0.3300000000000002,0.015,0.0256,0.0015513735343383583
1,6163,0.3450000000000002,0.015,0.02758,0.0016849455611390282
1,6163,0.3600000000000002,0.015,0.02978,0.0018289279731993299
1,6163,0.3750000000000002,0.015,0.03221,0.0019846314907872695
1,6163,0.39000000000000024,0.015,0.03491,0.0021530988274706866
1,6163,0.40500000000000025,0.015,0.0379,0.002335979899497487
1,6163,0.42000000000000026,0.015,0.04122,0.002534556113902847
1,6163,0.4350000000000003,0.015,0.0449,0.0027508668341708537
1,6163,0.4500000000000003,0.015,0.049,0.002986515912897822
1,6163,0.4650000000000003,0.015,0.05356,0.0032441164154103845
1,6163,0.4800000000000003,0.015,0.05864,0.0035256783919597992
1,6163,0.49500000000000033,0.015,0.0643,0.0038344597989949753
1,6163,0.5100000000000003,0.015,0.07061,0.0041729983249581245
1,6163,0.5250000000000004,0.015,0.07765,0.00454536432160804
1,6163,0.5400000000000004,0.015,0.08552,0.004954790619765494
1,6163,0.5550000000000004,0.015,0.0943,0.00540641959798995
1,6163,0.5700000000000004,0.015,0.10411,0.00590425460636516
1,6163,0.5850000000000004,0.015,0.11509,0.006454769681742044
1,6163,0.6000000000000004,0.015,0.12737,0.007063115577889448
1,6163,0.6150000000000004,0.015,0.14111,0.007737382747068676
1,6163,0.6300000000000004,0.015,0.15651,0.008484087102177554
1,6163,0.6450000000000005,0.015,0.17376,0.00931352596314908
1,6163,0.6600000000000005,0.015,0.19309,0.01023390284757119
1,6163,0.6750000000000005,0.015,0.21478,0.011258199329983253
1,6163,0.6900000000000005,0.015,0.23911,0.012396917922948074
1,6163,0.7050000000000005,0.015,0.26643,0.013666469849246235
1,6163,0.7200000000000005,0.015,0.29711,0.015080234505862647
1,6163,0.7350000000000005,0.015,0.33159,0.016659049413735343
1,6163,0.7500000000000006,0.015,0.37036,0.018419983249581242
1,6163,0.7650000000000006,0.015,0.414,0.0203896608040201
1,6163,0.7800000000000006,0.015,0.46313,0.022589983249581242
1,6163,0.7950000000000006,0.015,0.51849,0.025054979061976554
1,6163,0.8100000000000006,0.015,0.58092,0.027812780569514237
1,6163,0.8250000000000006,0.015,0.65137,0.030907202680066997
1,6163,0.8400000000000006,0.015,0.73092,0.034374455611390284
1,6163,0.8550000000000006,0.015,0.82078,0.03827090871021775
1,6163,0.8700000000000007,0.015,0.92227,0.042642981574539364
1,6163,0.8850000000000007,0.015,1.03683,0.04756244974874371
1,6163,0.9000000000000007,0.015,1.1659,0.05308768844221105
1,6163,0.9150000000000007,0.015,1.31086,0.059307231993299826
1,6163,0.9300000000000007,0.015,1.47286,0.06629070351758794
1,6163,0.9450000000000007,0.015,1.65264,0.07413993718592964
1,6163,0.9600000000000007,0.015,1.85045,0.08293035175879397
1,6163,0.9750000000000008,0.015,2.06604,0.09276710217755445
1,6163,0.9900000000000008,0.015,2.29887,0.10372345058626467
1,6163,1.0050000000000008,0.015,2.54862,0.11589953098827474
1,6163,1.0200000000000007,0.015,2.81587,0.1293670351758793
1,6163,1.0350000000000006,0.015,3.1029,0.14423381909547722
1,6163,1.0500000000000005,0.015,3.41441,0.16059296482412028
1,6163,1.0650000000000004,0.015,3.75714,0.17860461474036807
1,6163,1.0800000000000003,0.015,4.13661,0.1984147068676711
1,6163,1.0950000000000002,0.015,4.5488,0.22023170854271282
1,6163,1.11,0.015,4.96824,0.24414343383584497
1,6163,1.125,0.015,5.3447,0.270070741206029
1,6163,1.14,0.015,5.62604,0.2976996817420422
1,6163,1.1549999999999998,0.015,5.79816,0.3264250041876031
1,6163,1.1699999999999997,0.015,5.89768,0.35585103852596134
1,6163,1.1849999999999996,0.015,5.98146,0.38569561557788734
1,6163,1.1999999999999995,0.015,6.09067,0.4160088107202658
1,6163,1.2149999999999994,0.015,6.23285,0.44696676298157206
1,6163,1.2299999999999993,0.015,6.37149,0.4786445896147377
1,6163,1.2449999999999992,0.015,6.43911,0.5108546189279702
1,6163,1.2599999999999991,0.015,6.40133,0.5431827135678361
1,6163,1.274999999999999,0.015,6.28513,0.575069535175876
1,6163,1.289999999999999,0.015,6.12205,0.6062713232830785
1,6163,1.3049999999999988,0.015,5.91591,0.6365271482412023
1,6163,1.3199999999999987,0.015,5.65989,0.6656441541038486
1,6163,1.3349999999999986,0.015,5.35414,0.6933272278056909
1,6163,1.3499999999999985,0.015,5.00926,0.719389061976545
1,6163,1.3649999999999984,0.015,4.64203,0.743641139028471
1,6163,1.3799999999999983,0.015,4.26977,0.7660342043551042
1,6163,1.3949999999999982,0.015,3.90656,0.7865744556113853
1,6163,1.4099999999999981,0.015,3.56181,0.8053270351758743
1,6163,1.424999999999998,0.015,3.24061,0.8224131197654888
1,6163,1.439999999999998,0.015,2.94483,0.8379385594639813
1,6163,1.4549999999999979,0.015,2.6744,0.8520518341708486
1,6163,1.4699999999999978,0.015,2.42818,0.8648575041875991
1,6163,1.4849999999999977,0.015,2.20459,0.87649289782244
1,6163,1.4999999999999976,0.015,2.00177,0.8870489782244498
1,6163,1.5149999999999975,0.015,1.8177,0.8966417504187545
1,6163,1.5299999999999974,0.015,1.65023,0.9053451256281347
